# Time	Cd	Cl	Cm
0.13	4.26408	-0.000472314	4.61683e-06
0.131	4.24928	-0.000391814	8.96161e-06
0.132	4.23418	-0.000416711	7.02357e-06
0.133	4.2195	-0.000408995	9.43649e-06
0.134	4.20468	-0.000420948	7.72852e-06
0.135	4.19025	-0.000400771	8.46316e-06
0.136	4.17586	-0.000396866	8.73838e-06
0.137	4.16164	-0.000392214	9.2028e-06
0.138	4.14757	-0.000390325	1.00497e-05
0.139	4.13365	-0.000390448	8.669e-06
0.14	4.1199	-0.000382871	1.01143e-05
0.141	4.1062	-0.000369206	9.54522e-06
0.142	4.09263	-0.000372306	1.07586e-05
0.143	4.07917	-0.000373031	1.24068e-05
0.144	4.06585	-0.000362307	9.05912e-06
0.145	4.05279	-0.000337502	1.3401e-05
0.146	4.03955	-0.000353012	1.20229e-05
0.147	4.02669	-0.00041187	1.26533e-05
0.148	4.01367	-0.000416544	1.30126e-05
0.149	4.00099	-0.000357799	1.25721e-05
0.15	3.9883	-0.000354233	1.28233e-05
0.151	3.97577	-0.000381043	1.12508e-05
0.152	3.96337	-0.000334388	1.16393e-05
0.153	3.95114	-0.000400979	1.14948e-05
0.154	3.93901	-0.000296253	1.40828e-05
0.155	3.9269	-0.000387334	1.30172e-05
0.156	3.91501	-0.000305988	1.50506e-05
0.157	3.90322	-0.000350295	1.30916e-05
0.158	3.89143	-0.000317231	1.61893e-05
0.159	3.87982	-0.000324205	1.48575e-05
0.16	3.86825	-0.000301283	1.57125e-05
0.161	3.85679	-0.000306053	1.54683e-05
0.162	3.84549	-0.000316212	1.64365e-05
0.163	3.83415	-0.00031299	1.68623e-05
0.164	3.82308	-0.00030169	1.7089e-05
0.165	3.81196	-0.000309372	1.74086e-05
0.166	3.80107	-0.000295683	1.55618e-05
0.167	3.79021	-0.000322434	1.75262e-05
0.168	3.77951	-0.000300725	1.7872e-05
0.169	3.76883	-0.000291832	1.74794e-05
0.17	3.75824	-0.000300411	1.70154e-05
0.171	3.74773	-0.00028891	2.04651e-05
0.172	3.7373	-0.000293643	1.77215e-05
0.173	3.72701	-0.000304275	1.98255e-05
0.174	3.71674	-0.000253646	1.8293e-05
